current,R,G,B
0.044486,0.639,0.639,0.639
0.004422,0.000,0.396,0.639
0.001523,0.000,0.000,0.639
0.009002,0.396,0.396,0.639
0.009694,0.396,0.396,0.639
0.003994,0.396,0.396,0.396
0.003949,0.639,0.000,0.639
0.001482,0.396,0.000,0.000
0.001665,0.639,0.000,0.000
0.002593,0.396,0.000,0.639
0.001910,0.396,0.000,0.396
0.004803,0.639,0.639,0.000
0.001853,0.396,0.396,0.000
0.002035,0.396,0.000,0.396
0.002799,0.000,0.396,0.396
0.022091,0.639,0.639,0.396
0.002474,0.639,0.396,0.000
0.015263,0.639,0.396,0.639
0.001721,0.639,0.000,0.000
0.003828,0.396,0.396,0.396
0.002580,0.396,0.000,0.639
0.003965,0.396,0.396,0.396
0.005062,0.639,0.639,0.000
0.001100,0.000,0.000,0.000
0.007394,0.396,0.639,0.396
0.004810,0.639,0.639,0.000
0.007510,0.396,0.639,0.396
0.001668,0.000,0.396,0.000
0.004441,0.639,0.639,0.000
0.001269,0.000,0.000,0.000
0.016408,0.639,0.396,0.639
0.001683,0.639,0.000,0.000
0.002604,0.396,0.000,0.639
0.002161,0.396,0.639,0.000
0.045006,0.639,0.639,0.639
0.006469,0.396,0.639,0.396
0.001457,0.396,0.000,0.000
0.004063,0.000,0.396,0.639
0.001441,0.396,0.000,0.000
0.008388,0.639,0.396,0.396
0.007188,0.639,0.396,0.396
0.002244,0.396,0.639,0.000
0.008075,0.639,0.396,0.396
0.001235,0.000,0.000,0.000
0.002873,0.639,0.000,0.396
0.014715,0.396,0.639,0.639
0.002286,0.396,0.639,0.000
0.004269,0.639,0.639,0.000
0.002950,0.396,0.639,0.000
0.003129,0.639,0.396,0.000
0.002296,0.396,0.639,0.000
0.001664,0.639,0.000,0.000
0.001865,0.639,0.000,0.000
0.003858,0.396,0.396,0.396
0.004188,0.000,0.639,0.396
0.017681,0.639,0.396,0.639
0.001241,0.000,0.000,0.000
0.002511,0.396,0.000,0.639
0.001167,0.000,0.000,0.000
0.016650,0.639,0.396,0.639
0.014242,0.396,0.639,0.639
0.007750,0.396,0.396,0.639
0.007776,0.639,0.396,0.396
0.004171,0.396,0.396,0.396
0.008069,0.639,0.396,0.396
0.003915,0.396,0.396,0.396
0.004297,0.000,0.639,0.396
0.008341,0.639,0.396,0.396
0.004314,0.000,0.639,0.396
0.004555,0.000,0.639,0.396
0.001253,0.000,0.000,0.000
0.026475,0.639,0.639,0.396
0.003820,0.000,0.639,0.396
0.008889,0.639,0.396,0.396
0.014636,0.639,0.396,0.639
0.001531,0.396,0.000,0.000
0.001610,0.639,0.000,0.000
0.001422,0.396,0.000,0.000
0.044168,0.639,0.639,0.639
0.002160,0.396,0.639,0.000
0.001833,0.396,0.396,0.000
0.001066,0.000,0.000,0.000
0.002606,0.639,0.000,0.396
0.025709,0.639,0.639,0.396
0.002798,0.639,0.000,0.396
0.004451,0.000,0.639,0.396
0.001446,0.000,0.000,0.396
0.047967,0.639,0.639,0.639
0.004120,0.639,0.000,0.639
0.002798,0.396,0.000,0.639
0.002216,0.396,0.639,0.000
0.008518,0.396,0.396,0.639
0.027907,0.639,0.639,0.396
0.002361,0.639,0.396,0.000
0.024518,0.639,0.639,0.396
0.006573,0.396,0.639,0.396
0.003813,0.639,0.000,0.639
0.002495,0.396,0.000,0.639
0.003120,0.000,0.396,0.396
0.002629,0.396,0.000,0.639
0.004143,0.000,0.639,0.396
0.001701,0.396,0.000,0.396
0.001491,0.000,0.000,0.639
0.004280,0.000,0.639,0.396
0.030637,0.639,0.639,0.396
0.001616,0.000,0.000,0.639
0.001508,0.396,0.000,0.000
0.044358,0.639,0.639,0.639
0.002484,0.396,0.639,0.000
0.008082,0.396,0.396,0.639
0.001803,0.396,0.396,0.000
0.001975,0.639,0.000,0.000
0.017445,0.639,0.396,0.639
0.001692,0.000,0.000,0.639
0.004229,0.396,0.396,0.396
