current,R,G,B,rgb unique combination
0.104064, 255, 225,   0,2
0.069687,   0,   0,   0,5
0.085501,   0, 225,   0,0
0.088319, 255,   0,   0,6
0.102015, 255,   0, 195,1
0.069687,   0,   0,   0,5
0.117992, 255, 225, 195,7
0.103971, 255, 225,   0,2
0.083056,   0,   0, 195,4
0.069663,   0,   0,   0,5
0.083428,   0,   0, 195,4
0.099336,   0, 225, 195,3
0.083172,   0,   0, 195,4
0.118062, 255, 225, 195,7
0.083102,   0,   0, 195,4
0.088319, 255,   0,   0,6
0.083102,   0,   0, 195,4
0.069640,   0,   0,   0,5
0.118085, 255, 225, 195,7
0.103924, 255, 225,   0,2
0.088226, 255,   0,   0,6
0.117689, 255, 225, 195,7
0.101572, 255,   0, 195,1
0.117713, 255, 225, 195,7
0.088133, 255,   0,   0,6
0.085431,   0, 225,   0,0
0.117899, 255, 225, 195,7
0.083312,   0,   0, 195,4
0.085525,   0, 225,   0,0
0.069687,   0,   0,   0,5
0.088413, 255,   0,   0,6
0.099220,   0, 225, 195,3
0.101875, 255,   0, 195,1
0.099126,   0, 225, 195,3
0.085338,   0, 225,   0,0
0.069687,   0,   0,   0,5
0.118085, 255, 225, 195,7
0.069687,   0,   0,   0,5
0.088366, 255,   0,   0,6
0.101828, 255,   0, 195,1
0.069640,   0,   0,   0,5
0.102015, 255,   0, 195,1
0.085455,   0, 225,   0,0
0.104157, 255, 225,   0,2
0.085431,   0, 225,   0,0
0.117876, 255, 225, 195,7
0.069640,   0,   0,   0,5
0.118109, 255, 225, 195,7
0.099033,   0, 225, 195,3
0.083172,   0,   0, 195,4
0.099266,   0, 225, 195,3
0.101758, 255,   0, 195,1
0.117759, 255, 225, 195,7
0.069617,   0,   0,   0,5
0.104157, 255, 225,   0,2
0.099220,   0, 225, 195,3
0.083195,   0,   0, 195,4
0.069640,   0,   0,   0,5
0.104227, 255, 225,   0,2
0.101828, 255,   0, 195,1
0.083335,   0,   0, 195,4
0.101898, 255,   0, 195,1
0.104018, 255, 225,   0,2
0.088273, 255,   0,   0,6
0.117852, 255, 225, 195,7
0.085455,   0, 225,   0,0
0.101828, 255,   0, 195,1
0.117713, 255, 225, 195,7
